,year,title_cn,author_cn
80,2023,加强半导体基础能力建设 点亮半导体自立自强发展的“灯塔”,
81,2023,油气安全战略与“双碳”战略：关系与路径,
82,2023,2023年中国经济增长速度的预测分析与政策建议,
83,2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,
84,2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,
85,2023,碳中和目标下中国新能源使命,
86,2023,美国联邦政府资助和管理阿尔茨海默病研究项目的实践与启示,
87,2023,新形势下我国能源高质量发展与能源安全,
88,2023,国际动荡局势对我国能源资源安全的挑战与应对策略,
89,2023,我国煤炭主体能源安全高质量发展的理论技术思考,
90,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,
91,2023,稀土产业链全球格局现状、趋势预判及应对战略研究,
92,2023,可持续发展目标视野下中国食物系统转型的战略思考,
93,2023,新形势下科技体制改革攻坚的若干思考,
94,2023,国家创新体系的发展演进分析与若干思考,
95,2023,人工智能驱动的科学研究新范式：从AI4S到智能科学,
96,2023,黄土高原生态保护和高质量发展现状、问题与建议,
97,2023,重组后的全国重点实验室科技经费配置政策研究,
98,2023,太湖鼋头渚（奚和平 摄影）,
99,2023,中国盐穴型战略石油储备库建设的问题及对策,
100,2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,
101,2023,跨国油气勘探开发在保障国家能源安全中的作用,
102,2023,生物乙醇重整制氢技术挑战与产业化发展机遇,
103,2023,美国新型类DARPA项目管理创新机构的若干进展及启示,
104,2023,转变财政科技经费配置管理方式，提升科技投入效能,
105,2023,页岩油开发利用及在能源中的作用,
106,2023,高水平科技自立自强下我国集成电路人才培养“痛点”与对策,
107,2023,GPT技术变革对基础科学研究的影响分析,
108,2023,美国“脑计划”实施特点分析及启示,
109,2023,中国科学院研究所整体预算绩效评价试点的实践与思考,
110,2023,美国联邦政府科技预算绩效评价的发展演变与启示,
111,2023,机器人超精密智能研抛装备,
112,2023,中国西北干旱区水资源与生态环境变化及保护建议,
113,2023,英国碳中和战略政策体系研究与启示,
114,2023,中国东部超大城市群生态环境建设成效与发展对策,
115,2023,国家有组织科研：迎接世界三大中心转移的中国创新生态系统探讨,
116,2023,海洋负排放——基于地球系统科学思维的海洋科技变革,
117,2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,
118,2023,“欧盟半导体危机”的成因、对策与启示——围绕《欧洲芯片法案》的解读,
119,2023,海洋生态保护修复：国际议程与中国行动,
120,2023,中国跨越“中等技术陷阱”的策略研究,
121,2023,科学基金助力女性科研人员成长：政策、成效与展望,
122,2023,关于粤港澳大湾区一体化生态保护修复的思考与建议,
123,2023,工业生产全过程减污降碳：方法策略与科学基础,
124,2023,中国山地保护与山区发展：回顾与展望,
125,2023,打赢“三北”攻坚战，再造一个“新三北”：实现路径与战略规划,
126,2023,目录,
127,2023,中国特色新型科技智库建设研究——基于系统工程和科学传播等视角,
128,2023,开放科学环境下全球科技期刊的发展态势,
129,2023,快讯：2021年度《中国科学院院刊》“领跑者5000（F5000）”入选论文,
130,2023,人工智能新近发展及其对经济学研究范式的影响,
131,2023,中国能源发展战略研究,
132,2023,碳中和背景下我国典型战略性金属中长期可持续供给路径,
133,2023,美国建设生物医药创新高地的实践及对我国的启示,
134,2023,中国湿地保护修复成效及发展策略,
135,2023,抢占“镓体系”半导体科技制高点 助力实现光电子信息产业的率先突破,
136,2023,中国与美国、日本、德国制造业国际竞争优势比较研究及相关政策建议,
137,2023,我国生物种业发展现状与问题,
138,2023,新时代城市空间结构变革与转型,
139,2023,深刻认识科技安全与经济安全互动关系 建立科技安全监测预警体系,
140,2023,政策速览（2022年12月）,
141,2023,《中国科学院院刊》印迹2022,
142,2023,欢迎订阅《中国科学院院刊》,
143,2023,气候变化心理学研究进展及发展建议,
144,2023,侯建国2023年新年贺词,
145,2023,大国治理：中国荒漠化防治的战略选择与未来愿景,
146,2023,《中国科学院院刊》“2022年度优秀编委”“2022年度优秀审稿人”和“2021年度优秀论文”,
147,2023,河西走廊绿洲生态建设和农业发展的若干思考与建议,
148,2023,中美技术摩擦给我国高技术产业和企业带来的风险分析,
149,2023,深化科教融合，培养未来科技领军人才,
150,2023,复兴路上的科学家精神：新时代·新青年——邹文秀：把最美芳华献给黑土地,
151,2023,海岸带蓝碳增汇：理念、技术与未来建议,
152,2023,咸海生态治理：深化与中亚科技合作的重要路径,
153,2023,印度数据本地化的范式评述及其对中国的启示,
154,2023,颠覆性技术驱动的未来产业培育模式与路径研究——美国布局下一代集成电路产业的启示,
155,2023,“一带一路”科技创新人才培养：中国优势、挑战与关键路径,
156,2023,从战略性新兴产业到未来产业：新方向、新问题、新思路,
157,2023,新时代创新人才成长路径及所需环境,
158,2023,征稿简则,
159,2023,国际发展环境变化与我国科技战略选择：历史回顾与未来展望,
160,2023,大科普战略背景下院士群体科普实践的思考与建议,
161,2023,从边界层到中高层大气的气候环境综合探测与科学研究,
162,2023,加快推进生物安全能力建设，全力保障国家生物安全,
163,2023,人工智能伦理的国际软法之治：现状、挑战与对策,
164,2023,“一带一路”生态环境保护和可持续发展科技合作重点领域,
165,2023,系统观下的“一带一路”生命健康之路建设,
166,2023,我国开放科学政策体系构建研究,
167,2023,RCEP缔约国数据跨境流动政策的数字生产力基础及其影响——以数字融合指数为参照,
168,2023,科技创新与合作支撑“一带一路”高质量发展,
169,2023,中国湖泊生态环境变化与保护对策,
170,2023,加强开放数据基础设施建设，推动开放科学发展,
171,2023,复兴路上的科学家精神：新时代·新青年——刘焕军：勇挑重担，投身黑土地监测与保护事业,
172,2023,河西走廊—塔克拉玛干沙漠边缘阻击战：风沙形势与防治任务,
173,2023,构建乡村社会心理服务体系助力乡村振兴战略,
174,2023,"中国农田非CO,2,温室气体减排的研究现状与建议",
175,2023,战略科学家典型特征量化评估：探索与实证研究,
176,2023,适应“昆明—蒙特利尔全球生物多样性框架”目标的中国海洋保护区政策研究,
177,2023,加快完善支持企业基础研究的政策体系,
178,2023,乌克兰危机下的全球能源格局变化及能源科技发展新特点,
179,2023,科技预算绩效评价的理论与实践,
180,2023,中国式现代化的分层结构和三个建议,
181,2023,新型能源体系建设的背景形势、策略建议和未来展望,
182,2023,发挥学部智库咨询作用，服务国家“双碳”战略需求——中国科学院学部“碳中和”重大咨询项目案例,
183,2023,目录,
184,2023,构筑开放科学行动路线图 把握开放科学发展机遇,
185,2023,车载双光路污染气体分布及网格化排放遥测系统,
186,2023,《中国科学院院刊》新媒体,
187,2023,我国技术供给安全的影响因素及作用机制,
188,2023,新时代科研范式变革的内涵及应对,
189,2023,欢迎订阅《中国科学院院刊》,
190,2023,关于实施大科普战略的法治保障研究,
191,2023,持续推进反刍家畜全生命周期营养工程的创新与发展,
192,2023,日本科技领域是否存在“举国体制”——以半导体技术攻关为考察对象,
193,2023,服务国家战略需求 培养拔尖创新人才——中国科学院大学科教融合办学的制度逻辑与发展实践,
194,2023,气候变化的生态影响及适应对策,
195,2023,“一带一路”共建国家低碳转型路径研究与气候合作建议,
196,2023,面向开放科学的元出版理念与平台建设实践,
197,2023,“数字丝路”建设的科技创新研究,
198,2023,“一带一路”科技合作支撑青藏高原区域发展的实践与建议,
199,2023,美日“先进存储研究联合体”发展路径与启示,
200,2023,加强国家科普能力建设，服务新时代国家战略需求,
201,2023,德国生物圈保护区发展经验及对中国的建议,
202,2023,政策速览（2023年1月）,
203,2023,靶斑仪,
204,2023,技术科学的学科体系、学术体系与话语体系,
205,2023,抓住数字技术与数字经济发展新机遇，不断提升城市科学研究水平,
206,2023,基于生物地球化学循环视角下我国农业碳达峰、碳中和应对策略,
207,2023,发展长穗偃麦草，建设“滨海草带”,
208,2023,海上风能等级区划研究：瓶颈与对策,
209,2023,我国银行业技术创新发展的问题分析与建议,
210,2023,未来技术风险识别框架研究——基于技术经济安全视角,
211,2023,城市科学研究的新机遇,
212,2023,无液氦稀释制冷机,
213,2023,大型平行光管,
