year,title_cn,views,author_cn
2023,目录,429,not_specified
2023,油气安全战略与“双碳”战略：关系与路径,1246,赵文智
2023,油气安全战略与“双碳”战略：关系与路径,1246,梁坤
2023,油气安全战略与“双碳”战略：关系与路径,1246,王坤
2023,油气安全战略与“双碳”战略：关系与路径,1246,林世国
2023,油气安全战略与“双碳”战略：关系与路径,1246,李志欣
2023,我国煤炭主体能源安全高质量发展的理论技术思考,745,袁亮
2023,新形势下我国能源高质量发展与能源安全,731,王国法
2023,新形势下我国能源高质量发展与能源安全,731,刘合
2023,新形势下我国能源高质量发展与能源安全,731,王丹丹
2023,新形势下我国能源高质量发展与能源安全,731,庞义辉
2023,新形势下我国能源高质量发展与能源安全,731,吴立新
2023,页岩油开发利用及在能源中的作用,581,郭旭升
2023,页岩油开发利用及在能源中的作用,581,黎茂稳
2023,页岩油开发利用及在能源中的作用,581,赵梦云
2023,碳中和目标下中国新能源使命,820,邹才能
2023,碳中和目标下中国新能源使命,820,陈艳鹏
2023,碳中和目标下中国新能源使命,820,熊波
2023,碳中和目标下中国新能源使命,820,刘翰林
2023,跨国油气勘探开发在保障国家能源安全中的作用,588,窦立荣
2023,跨国油气勘探开发在保障国家能源安全中的作用,588,王作乾
2023,跨国油气勘探开发在保障国家能源安全中的作用,588,郜峰
2023,跨国油气勘探开发在保障国家能源安全中的作用,588,刘小兵
2023,国际动荡局势对我国能源资源安全的挑战与应对策略,759,王安建
2023,国际动荡局势对我国能源资源安全的挑战与应对策略,759,王春辉
2023,2023年中国经济增长速度的预测分析与政策建议,1077,陈锡康
2023,2023年中国经济增长速度的预测分析与政策建议,1077,杨翠红
2023,2023年中国经济增长速度的预测分析与政策建议,1077,祝坤福
2023,2023年中国经济增长速度的预测分析与政策建议,1077,王会娟
2023,2023年中国经济增长速度的预测分析与政策建议,1077,李鑫茹
2023,2023年中国经济增长速度的预测分析与政策建议,1077,尹杰
2023,新形势下科技体制改革攻坚的若干思考,602,霍竹
2023,新形势下科技体制改革攻坚的若干思考,602,刘华仑
2023,新形势下科技体制改革攻坚的若干思考,602,田德录
2023,中国盐穴型战略石油储备库建设的问题及对策,583,施锡林
2023,中国盐穴型战略石油储备库建设的问题及对策,583,尉欣星
2023,中国盐穴型战略石油储备库建设的问题及对策,583,杨春和
2023,中国盐穴型战略石油储备库建设的问题及对策,583,马洪岭
2023,中国盐穴型战略石油储备库建设的问题及对策,583,李银平
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,刘晓洁
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,贺思琪
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,陈伟强
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,闫丹
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,刘立涛
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,丁钢强
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,张忠杰
2023,可持续发展目标视野下中国食物系统转型的战略思考,623,刘刚
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,李晓文
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,智烈慧
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,马田田
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,刘增力
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,崔保山
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,邵冬冬
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,曹宇
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,683,穆泳林
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,韩雪
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,贺泓
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,岳国君
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,林海龙
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,刘劲松
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,606,于斌
2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,450,杨正
2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,450,贾鹤鹏
2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,450,王艳丽
2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,450,王挺
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,潘教峰
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,王海霞
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,冷伏海
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,张凤
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,杨帆
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,袁建霞
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,邢颖
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,范唯唯
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,周秋菊
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,边文越
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,张超星
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,黄龙光
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,王海名
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,韩淋
2023,《2022研究前沿》——11个大学科领域发展趋势与重点研究问题,1144,裴瑞敏
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,潘教峰
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,范唯唯
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,冷伏海
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,李国鹏
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,张凤
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,韩淋
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,王海名
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,张超星
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,杨帆
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,王小梅
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,王海霞
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,袁建霞
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,邢颖
2023,《2022技术聚焦》——20个高影响力专利技术焦点分析解读,860,陈挺
2023,政策速览（2022年12月）,396,not_specified
2023,《中国科学院院刊》“2022年度优秀编委”“2022年度优秀审稿人”和“2021年度优秀论文”,393,not_specified
2023,快讯：2021年度《中国科学院院刊》“领跑者5000（F5000）”入选论文,418,not_specified
2023,《中国科学院院刊》印迹2022,417,not_specified
2023,中国能源发展战略研究,419,not_specified
2023,侯建国2023年新年贺词,409,not_specified
2023,复兴路上的科学家精神：新时代·新青年——邹文秀：把最美芳华献给黑土地,395,not_specified
2023,征稿简则,362,not_specified
2023,欢迎订阅《中国科学院院刊》,374,not_specified
2023,目录,363,not_specified
2023,加强半导体基础能力建设 点亮半导体自立自强发展的“灯塔”,1355,骆军委
2023,加强半导体基础能力建设 点亮半导体自立自强发展的“灯塔”,1355,李树深
2023,转变财政科技经费配置管理方式，提升科技投入效能,565,刘文军
