Unnamed: 0,year,title_cn,fund_project,topic_en,topic_ru,domain_en,domain_ru,field_en,field_ru,subfield_en,subfield_ru
173,2023,我国煤炭主体能源安全高质量发展的理论技术思考,中国工程院重大咨询项目（2022-XBZD-09）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
173,2023,我国煤炭主体能源安全高质量发展的理论技术思考,中国工程院重大咨询项目（2022-XBZD-09）,Clean and Efficient Utilization of Coal and Natural Gas,Чистое и эффективное использование угля и природного газа,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
174,2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
174,2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
175,2023,新形势下我国能源高质量发展与能源安全,国家重点研发计划项目（2017YFC0804304）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
175,2023,新形势下我国能源高质量发展与能源安全,国家重点研发计划项目（2017YFC0804304）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
176,2023,页岩油开发利用及在能源中的作用,国家自然科学基金（42090022）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
176,2023,页岩油开发利用及在能源中的作用,国家自然科学基金（42090022）,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
177,2023,跨国油气勘探开发在保障国家能源安全中的作用,中国石油天然气股份有限公司科学研究与技术开发项目（2021DJ3101、2021DJ3205）,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
177,2023,跨国油气勘探开发在保障国家能源安全中的作用,中国石油天然气股份有限公司科学研究与技术开发项目（2021DJ3101、2021DJ3205）,Belt and Road Initiative: S&T Cooperation,"""Пояс и путь"": научно-техническое сотрудничество",Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,International Relations,Международные отношения
178,2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金重大项目（71991480）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
179,2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金委员会基础科学中心项目（72088101）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
180,2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金重大研究计划集成项目（92162321）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
181,2023,新形势下科技体制改革攻坚的若干思考,国家社会科学基金重大项目（20&ZD075、21ZDA016）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
182,2023,新形势下科技体制改革攻坚的若干思考,科学技术部科技创新战略研究专项（ZLY202169）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
183,2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
183,2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403）,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
184,2023,中国盐穴型战略石油储备库建设的问题及对策,中国科学院战略性先导科技专项（B类）培育项目（XDPB21）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
184,2023,中国盐穴型战略石油储备库建设的问题及对策,中国科学院战略性先导科技专项（B类）培育项目（XDPB21）,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
185,2023,中国盐穴型战略石油储备库建设的问题及对策,中国科学院青年创新促进会人才项目（2019324）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
185,2023,中国盐穴型战略石油储备库建设的问题及对策,中国科学院青年创新促进会人才项目（2019324）,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
186,2023,可持续发展目标视野下中国食物系统转型的战略思考,中国科学院战略性先导科技专项（A类）（XDA28130100）,Sustainable Development in China,Устойчивое развитие в Китае,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
186,2023,可持续发展目标视野下中国食物系统转型的战略思考,中国科学院战略性先导科技专项（A类）（XDA28130100）,Earth Big Data for Sustainable Development,Большие данные о Земле для устойчивого развития,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
187,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
187,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500）,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
188,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家自然科学基金区域创新发展联合基金重点项目（U22A20558）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
188,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家自然科学基金区域创新发展联合基金重点项目（U22A20558）,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
189,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家自然科学基金项目（32171572、31770576）,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
189,2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家自然科学基金项目（32171572、31770576）,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
190,2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
190,2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
191,2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
191,2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
192,2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,国家社会科学基金重点项目（21AZD013）,Social Network Public Opinion Analysis,Анализ общественного мнения в социальных сетях,Health Sciences,Науки о здоровье,Psychology & Cognitive Sciences,Психология и когнитивные науки,Social Psychology,Социальная психология
193,2023,国际社交媒体平台上的中国科学形象研究——基于推特平台的数据,中国科普研究所年度课题项目（21EBR03,Social Network Public Opinion Analysis,Анализ общественного мнения в социальных сетях,Health Sciences,Науки о здоровье,Psychology & Cognitive Sciences,Психология и когнитивные науки,Social Psychology,Социальная психология
195,2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,国家自然科学基金面上项目（71974184）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
196,2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,中国科学院青年创新促进会项目（2019158）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
197,2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,中国科学院条件保障与财务局委托项目（E2J0471601）,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
198,2023,美国联邦政府资助和管理阿尔茨海默病研究项目的实践与启示,中国科学院战略研究专项项目（GHJ-ZLZX-2022-22-3）,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
