city_cn,city_en
北京,Beijing
天津,Tianjin
上海,Shanghai
重庆,Chongqing
香港,Hong Kong
澳门,Macau
石家庄,Shijiazhuang
唐山,Tangshan
秦皇岛,Qinhuangdao
邯郸,Handan
邢台,Xingtai
保定,Baoding
张家口,Zhangjiakou
承德,Chengde
沧州,Cangzhou
廊坊,Langfang
衡水,Hengshui
太原,Taiyuan
大同,Datong
朔州,Shuozhou
忻州,Xinzhou
阳泉,Yangquan
吕梁,Lüliang
晋中,Jinzhong
长治,Changzhi
晋城,Jincheng
临汾,Linfen
运城,Yuncheng
呼和浩特,Hohhot
包头,Baotou
乌海,Wuhai
赤峰,Chifeng
通辽,Tongliao
鄂尔多斯,Ordos
呼伦贝尔,Hulun Buir
巴彦淖尔,Bayan Nur
乌兰察布,Ulanqab
沈阳,Shenyang
大连,Dalian
鞍山,Anshan
抚顺,Fushun
本溪,Benxi
丹东,Dandong
锦州,Jinzhou
营口,Yingkou
阜新,Fuxin
辽阳,Liaoyang
盘锦,Panjin
铁岭,Tieling
朝阳,Chaoyang
葫芦岛,Huludao
长春,Changchun
吉林,Jilin
四平,Siping
通化,Tonghua
白城,Baicheng
辽源,Liaoyuan
松原,Songyuan
白山,Baishan
哈尔滨,Harbin
齐齐哈尔,Qiqihar
牡丹江,Mudanjiang
佳木斯,Jiamusi
大庆,Daqing
鸡西,Jixi
双鸭山,Shuangyashan
伊春,Yīchun
七台河,Qitaihe
鹤岗,Hegang
黑河,Heihe
绥化,Suihua
南京,Nanjing
无锡,Wuxi
徐州,Xuzhou
常州,Changzhou
苏州,Sūzhou
南通,Nantong
连云港,Lianyungang
淮安,Huai'an
盐城,Yancheng
扬州,Yangzhou
镇江,Zhenjiang
泰州,Tàizhou
宿迁,Suqian
杭州,Hangzhou
宁波,Ningbo
温州,Wenzhou
绍兴,Shaoxing
湖州,Huzhou
嘉兴,Jiaxing
金华,Jinhua
衢州,Quzhou
台州,Tāizhou
丽水,Lishui
舟山,Zhoushan
合肥,Hefei
芜湖,Wuhu
蚌埠,Bengbu
淮南,Huainan
马鞍山,Maanshan
淮北,Huaibei
铜陵,Tongling
安庆,Anqing
黄山,Huangshan
阜阳,Fuyang
宿州,Sùzhou
滁州,Chuzhou
六安,Lu'an
宣城,Xuancheng
池州,Chizhou
亳州,Bozhou
福州,Fúzhou
厦门,Xiamen
漳州,Zhangzhou
泉州,Quanzhou
三明,Sanming
莆田,Putian
南平,Nanping
龙岩,Longyan
宁德,Ningde
南昌,Nanchang
九江,Jiujiang
上饶,Shangrao
抚州,Fǔzhou
宜春,Yíchun
吉安,Ji'an
赣州,Ganzhou
景德镇,Jingdezhen
萍乡,Pingxiang
新余,Xinyu
鹰潭,Yingtan
济南,Jinan
青岛,Qingdao
淄博,Zibo
枣庄,Zaozhuang
东营,Dongying
烟台,Yantai
潍坊,Weifang
济宁,Jining
泰安,Taian
威海,Weihai
日照,Rizhao
滨州,Binzhou
德州,Dezhou
聊城,Liaocheng
临沂,Linyi
菏泽,Heze
郑州,Zhengzhou
开封,Kaifeng
洛阳,Luoyang
平顶山,Pingdingshan
安阳,Anyang
鹤壁,Hebi
新乡,Xinxiang
焦作,Jiaozuo
濮阳,Puyang
许昌,Xuchang
漯河,Luohe
三门峡,Sanmenxia
商丘,Shangqiu
周口,Zhoukou
驻马店,Zhumadian
南阳,Nanyang
信阳,Xinyang
武汉,Wuhan
黄石,Huangshi
十堰,Shiyan
宜昌,Yichang
襄阳,Xiangyang
鄂州,Ezhou
荆门,Jingmen
孝感,Xiaogan
荆州,Jingzhou
黄冈,Huanggang
咸宁,Xianning
随州,Suizhou
长沙,Changsha
株洲,Zhuzhou
湘潭,Xiangtan
衡阳,Hengyang
邵阳,Shaoyang
岳阳,Yueyang
常德,Changde
张家界,Zhangjiajie
益阳,Yiyang
娄底,Loudi
郴州,Chenzhou
永州,Yongzhou
怀化,Huaihua
广州,Guangzhou
韶关,Shaoguan
深圳,Shenzhen
珠海,Zhuhai
汕头,Shantou
佛山,Foshan
江门,Jiangmen
湛江,Zhanjiang
茂名,Maoming
肇庆,Zhaoqing
惠州,Huizhou
梅州,Meizhou
汕尾,Shanwei
河源,Heyuan
阳江,Yangjiang
清远,Qingyuan
东莞,Dongguan
中山,Zhongshan
