url,org_cn,city_cn,city_en,org_cn_head,orgs_head,title_cn,year
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240102&flag=1,北京大学,北京,Beijing,北京大学,Peking University,AI助力打造科学研究新范式,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240102&flag=1,北京科学智能研究院,北京,Beijing,北京科学智能研究院,Beijing Institute of Scientific and Intelligent Technology,AI助力打造科学研究新范式,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240104&flag=1,中国科学院自动化研究所 复杂系统管理与控制国家重点实验室,北京,Beijing,中国科学院自动化研究所,"Institute of Automation, CAS",数字科学家与平行科学：AI4S和S4AI的本源与目标,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240104&flag=1,澳门科技大学 创新工程学院,澳门,Macau,澳门科技大学,Macau University of Science and Technology,数字科学家与平行科学：AI4S和S4AI的本源与目标,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240104&flag=1,中国科学院自动化研究所 多模态人工智能系统全国重点实验室,北京,Beijing,中国科学院自动化研究所,"Institute of Automation, CAS",数字科学家与平行科学：AI4S和S4AI的本源与目标,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240105&flag=1,中国科学院计算技术研究所 处理器芯片全国重点实验室,北京,Beijing,中国科学院计算技术研究所,"Institute of Computing Technology, CAS",AI for Technology：技术智能在高技术领域的应用实践与未来展望,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240105&flag=1,中国科学院大学 计算机科学与技术学院,北京,Beijing,中国科学院大学,University of CAS,AI for Technology：技术智能在高技术领域的应用实践与未来展望,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240106&flag=1,精准智能化学重点实验室,合肥,Hefei,精准智能化学重点实验室,Key Laboratory of Precision and Intelligent Chemistry,大模型驱动、人机协同的机器化学家云设施,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240107&flag=1,中国科学院动物研究所,北京,Beijing,中国科学院动物研究所,"Institute of Zoology, CAS",人工智能驱动的生命科学研究新范式,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240107&flag=1,北京干细胞与再生医学研究院,北京,Beijing,北京干细胞与再生医学研究院,Beijing Institute of Stem Cell and Regenerative Medicine,人工智能驱动的生命科学研究新范式,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240107&flag=1,中国科学院 前沿科学与教育局,北京,Beijing,中国科学院,CAS,人工智能驱动的生命科学研究新范式,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240108&flag=1,上海交通大学 人工智能研究院,上海,Shanghai,上海交通大学,Shanghai Jiao Tong University,AI for Science：智能化科学设施变革基础研究,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240108&flag=1,上海交通大学 计算机科学与工程系,上海,Shanghai,上海交通大学,Shanghai Jiao Tong University,AI for Science：智能化科学设施变革基础研究,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240108&flag=1,北京大学 信息科学技术学院,北京,Beijing,北京大学,Peking University,AI for Science：智能化科学设施变革基础研究,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240109&flag=1,中国科学院科技战略咨询研究院,北京,Beijing,中国科学院科技战略咨询研究院,"Institutes of Science and Development, CAS",科技创新战略-政策体系研究：“3+5”框架体系的提出与分析,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240109&flag=1,中国科学院大学 公共政策与管理学院,北京,Beijing,中国科学院大学,University of CAS,科技创新战略-政策体系研究：“3+5”框架体系的提出与分析,2024
http://old2022.bulletin.cas.cn/zgkxyyk/ch/reader/view_abstract.aspx?file_no=20240110&flag=1,中国科技评估与成果管理研究会,北京,Beijing,中国科技评估与成果管理研究会,China Science and Technology Evaluation and Achievement Management Research Association,国外技术出口管制演进分析与应对策略研究,2024
