topic,keywords_cn,keywords_en,keywords_ru,topic_en,topic_cn,topic_ru
0,"[创新, 知识, 合作, 科技, 人才, 智库, 工程, 工作, 中国科学院, 培养]","[innovation, knowledge, cooperation, science and technology, talent, think tank, engineering, work, chinese academy of sciences, training]","[инновации, знания, сотрудничество, технологии, талант, аналитический центр, инженерия, работа, китайская академия наук, обучение]",S&T Talent Cultivation,科技人才培养,Воспитание научно-технических талантов
1,"[年度, 简介, 实验室, 中国科学院, 一等奖, 重点, 国家, 科学技术, 进步奖, 研究所]","[annual, introduction, laboratory, chinese academy of sciences, first prize, key, national, science and technology, progress award, institute]","[ежегодный, введение, лаборатория, китайская академия наук, первая премия, ключевая, национальная, наука и технологии, премия за прогресс, научно-исследовательский институт]",Development History and Scientific Achievements of the Chinese Academy of Sciences,中国科学院发展历程与科研成果,История развития и научные достижения КАН
2,"[创新, 科技, 强国, 改革, 世界, 建设, 科技体制, 发展, 战略, 政策]","[innovation, science and technology, strong country, reform, world, construction, science and technology system, development, strategy, policy]","[инновации, наука и технологии, сильная страна, реформа, мир, строительство, научно-техническая система, развитие, стратегия, политика]",S&T Innovation and Superpower Strategy,中国科技创新与强国战略,Научно-технические инновации и стратегия сверхдержавы
3,"[生物学, 生物, 细胞, 基因, 合成, 生命科学, 分子, 生命, 蛋白质, 干细胞]","[biology, biology, cell, gene, synthesis, life science, molecule, life, protein, stem cell]","[биология, организм, клетка, ген, синтез, наука о жизни, молекула, жизнь, белок, стволовая клетка]",Biotechnology Development,生物技术发展,Развитие биотехнологий
4,"[湿地, 水资源, 长江, 生态, 流域, 湖泊, 海洋, 经济带, 保护, 对策]","[wetland, water resources, yangtze river, ecology, river basin, lake, ocean, economic zone, protection, countermeasures]","[водно-болотные угодья, водные ресурсы, река янцзы, экология, речной бассейн, озеро, океан, экономическая зона, защита, меры противодействия]",Water Resources Management and Ecological Protection,长江流域水资源管理与生态保护,Управление водными ресурсами и экологическая защита
5,"[试验站, 生态系统, 观测, 中国科学院, 森林, 野外, 定位, 生态, 研究所, 青藏高原]","[experimental station, ecosystem, observation, chinese academy of sciences, forest, field, positioning, ecology, institute, qinghai-tibet plateau]","[экспериментальная станция, экосистема, наблюдение, китайская академия наук, лес, поле, позиционирование, экология, научно-исследовательский институт, тибетское нагорье]",CAS Field Observation Station Network,中科院野外观测站网络,Сеть полевых наблюдательных станций КАН
6,"[科普, 专题报告, 自然科学, 科学, 调研, 学科, 智库, 文化, 全国, 科学普及]","[popular science, special report, natural science, science, research, discipline, think tank, culture, nationwide, popular science]","[популяризация науки, специальный репортаж, естествознание, наука, исследование, предмет, аналитический центр, культура, национальная популяризация науки]",Science Popularization and Think Tank Construction,科学普及与智库建设,Популяризация науки и создание аналитических центров
7,"[能源, 发电, 再生能源, 分布式, 燃料电池, 光伏, 新能源, 电网, 太阳能, 储能]","[energy, power generation, renewable energy, distributed, fuel cell, photovoltaic, new energy, power grid, solar energy, energy storage]","[энергетика, производство электроэнергии, возобновляемые источники энергии, распределенная энергия, топливные элементы, фотоэлектрическая энергия, новая энергия, энергосистема, солнечная энергия, хранение энергии]",Renewable Energy,可再生能源,Возобновляемая энергия
8,"[紫外, 激光, 射线, 光谱仪, 成像仪, 伽玛, 相机, 固态, 拉曼, 曼光谱]","[ultraviolet, laser, ray, spectrometer, imager, gamma, camera, solid state, raman, mann spectroscopy]","[уф, лазер, луч, спектрометр, формирователь изображения, гамма, камера, твердотельное тело, комбинационное рассеяние света, мановская спектроскопия]",Optical and Spectroscopic Detection Instruments,光学与光谱探测仪器,Оптические и спектроскопические приборы обнаружения
9,"[气候变化, 气候, 全球, 应对, 冰冻, 变化, 排放, 减排, 影响, 陆地]","[climate change, climate, global, response, freezing, change, emission, emission reduction, impact, land]","[изменение климата, климат, глобальный, ответные меры, замораживание, изменение, выбросы, сокращение, воздействие, земля]","Global Climate Change: Impact, Adaptation, and Mitigation Strategy",全球气候变化: 影响、适应与减缓策略研究,"Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий"
